tipo,creatura,hp,exp,exp_hp_ratio,danno_melee,danno_distanza_max,max_hit,attacchi
melee,Ghoul,100,85,0.85,74,0,74,Melee (~74) | Life Drain (25-15)
melee,Poison Spider,26,22,0.846,27,0,27,Melee (~27)
melee,Monk,240,200,0.833,158,0,158,Melee (~158)
melee,Ghost,150,120,0.8,91,0,91,Melee (~91) | Life Drain (45-25)
melee,Dark Monk,190,145,0.763,130,0,130,Melee (~130) | Life Drain (49-25)
melee,Cold Ambusher,120,90,0.75,90,0,90,Melee (~90) | Life Drain (30-20)
melee,Stalker,120,90,0.75,90,0,90,Melee (~90) | Life Drain (30-20)
melee,Wolf,25,18,0.72,23,0,23,Melee (~23)
melee,Dwarf Guard,240,170,0.708,146,0,146,Melee (~146)
melee,Skeleton,50,35,0.7,27,0,27,Melee (~27) | Life Drain (13-7)
melee,Skeleton Mage,50,35,0.7,114,0,114,Melee (~114) | Life Drain (13-7) | Life Drain (200-100)
melee,Wasp,35,24,0.686,26,0,26,Melee (~26)
melee,Snake,15,10,0.667,8,0,8,Melee (~8)
melee,Winter Wolf,30,20,0.667,27,0,27,Melee (~27)
melee,Larva,70,44,0.629,50,0,50,Melee (~50)
melee,Mummy,240,150,0.625,112,0,112,Melee (~112) | Paralyze | Life Drain (40-30)
melee,Bug,29,18,0.621,19,0,19,Melee (~19)
melee,Rotworm,65,40,0.615,41,0,41,Melee (~41)
melee,Orc Rider,180,110,0.611,139,0,139,Melee (~139)
melee,Gargoyle,250,150,0.6,78,0,78,Melee (~78)
melee,Spider,20,12,0.6,14,0,14,Melee (~14)
melee,Stone Golem,270,160,0.593,137,0,137,Melee (~137)
melee,Cyclops,260,150,0.577,105,0,105,Melee (~105)
melee,Crab,55,30,0.545,34,0,34,Melee (~34)
melee,Tarantula,225,120,0.533,114,0,114,Melee (~114) | Poisonfield
melee,Tiger,75,40,0.533,47,0,47,Melee (~47)
melee,Dwarf,90,45,0.5,30,0,30,Melee (~30)
melee,Minotaur,100,50,0.5,34,0,34,Melee (~34)
melee,Cobra,65,30,0.462,32,0,32,Melee (~32) | Poisoncondition
melee,Swamp Troll,55,25,0.455,24,0,24,Melee (~24)
melee,Wild Warrior,135,60,0.444,53,0,53,Melee (~53)
melee,Centipede,70,30,0.429,60,0,60,Melee (~60)
melee,Frost Troll,55,23,0.418,21,0,21,Melee (~21)
melee,Orc Warrior,125,50,0.4,59,0,59,Melee (~59)
melee,Troll,50,20,0.4,18,0,18,Melee (~18)
melee,War Wolf,140,55,0.393,71,0,71,Melee (~71)
melee,Crocodile,105,40,0.381,66,0,66,Melee (~66)
melee,Dworc Venomsniper,80,30,0.375,20,0,20,Melee (~20) | Poisoncondition
melee,Lion,80,30,0.375,52,0,52,Melee (~52)
melee,Smuggler,130,48,0.369,41,0,41,Melee (~41)
melee,Orc,70,25,0.357,27,0,27,Melee (~27)
melee,Bat,30,10,0.333,14,0,14,Melee (~14)
melee,Cave Rat,30,10,0.333,15,0,15,Melee (~15)
melee,Hyaena,60,20,0.333,21,0,21,Melee (~21)
melee,Polar Bear,85,28,0.329,35,0,35,Melee (~35)
melee,Bear,80,23,0.287,30,0,30,Melee (~30)
melee,Panda,80,23,0.287,26,0,26,Melee (~26)
melee,Bandit,245,65,0.265,57,0,57,Melee (~57)
melee,Rat,20,5,0.25,12,0,12,Melee (~12)
melee,Badger,23,5,0.217,19,0,19,Melee (~19)
melee,Black Sheep,20,0,0.0,0,0,0,Melee
melee,Blue Butterfly,2,0,0.0,0,0,0,Melee
melee,Chicken,15,0,0.0,0,0,0,Melee
melee,Deer,25,0,0.0,3,0,3,Melee (~3)
melee,Dog,20,0,0.0,0,0,0,Melee
melee,Flamingo,25,0,0.0,6,0,6,Melee (~6)
melee,Parrot,25,0,0.0,10,0,10,Melee (~10)
melee,Pig,25,0,0.0,0,0,0,Melee
melee,Rabbit,15,0,0.0,0,0,0,Melee
melee,Red Butterfly,2,0,0.0,0,0,0,Melee
melee,Sheep,20,0,0.0,0,0,0,Melee
melee,Yellow Butterfly,2,0,0.0,0,0,0,Melee
